"","FDP","FDS","EIP","EDC","LUM","DI","PI"
"negative",-1,-1,-1,-1,-1,-1,-1
"positive",1,1,1,1,1,1,1
"1",0.013385387727972,0.00706762943644886,-0.0114943383978771,0.0439212846792764,-0.323686244938146,0.139317047733057,0.0841828512800472
"2",0.0377791090753435,0.0181244932609211,0.0498205639508175,0.113013699971954,0.11711030093789,0.0478056297592226,0.0413149059437092
"3",0.00482622117146397,0.00188919953821,-0.340105067602971,0.0877673596570652,0.122936503725104,-0.0151756729981032,0.00156755870652783
"4",0.00343174053293052,0.000833965374553144,-0.236306956247936,0.0528428906803533,0.534932522465994,-0.133360835741204,-0.0680185803063401
"5",-0.0901202715578176,-0.0416719073120694,0.327550508457488,-0.417801786806378,-0.15059707752229,-0.0456137544771157,-0.0709268909071759
"6",0.0314714463735352,0.0152565354253199,-0.281976330691176,0.176070793250954,-0.357954148572023,0.164968711697658,0.112604468989714
"7",-0.0588083258947732,-0.0275951956039813,-0.303038658918039,-0.148227849265028,-0.324596395633012,0.0261913498347217,-0.00240830414251358
"8",-0.119584449651769,-0.0560209643139812,0.291293441044575,-0.519088383210303,0.0945679961507057,-0.160263106558181,-0.146794264735587
"9",-0.0201817861418763,-0.00982323920648599,-0.0401563873576607,-0.0791644853542999,0.371591355988667,-0.112040903458085,-0.0705103523058481
"10",0.0108213411647784,0.00528128421530726,-0.181381134202369,0.0734467370952758,-0.0995420506907634,0.0640585572565576,0.0448388356425567
"11",-0.0718652860102539,-0.0334832821476783,0.170760375561129,-0.314840789970477,0.00671582900078926,-0.0713310577763975,-0.0740749317874879
"12",-0.0797452801689562,-0.0369737550866363,0.0484477743854975,-0.310215638395048,-0.314941785676378,0.00666545374127961,-0.0305070488602573
"13",0.0752486566149107,0.0354126647424011,0.0632381957051543,0.242340764044765,0.475481401184313,-0.00288481733384222,0.0279897170106343
"14",0.00410650590001302,0.00152354573919167,-0.363315613979975,0.0908924044543942,0.114129706755304,-0.0144928858844081,0.00221049717581503
"15",0.048017375051526,0.0233179261475141,0.364903557290406,0.0723621440903727,0.230840109264468,0.0408985771141118,0.0341102824984036
"16",-0.0358166224912939,-0.0165297379478868,-0.0839358907276134,-0.119184967530538,-0.196802662024734,0.0297473655498838,0.0038636076508671
"17",0.040153167013192,0.0182549369204427,-0.182143708028973,0.172988713214954,0.581089413847621,-0.0926254673259001,-0.0311743892484628
"18",-0.0246376007210717,-0.0117515685138909,-0.489825384172628,0.0213701943041369,-0.286582736621985,0.056738913146126,0.0334259890936492
"19",-0.0220726621391457,-0.0106217367605982,0.00801275897933051,-0.0976075895420219,0.355775286524659,-0.108332350272158,-0.07036233104778
